review	tagging
"Yes, I recently purchased a Samsung A920 on ebay.  Several years ago I had had one, but it had gotten wet and never recovered.  I saw one for sale on ebay and the way the seller described it, made it sound as a like new phone.  So I bought it.  As it happens, when I received it in the mail, it was extremely used.  It was not in the shape it was sold to be. The seller said they were the original owner and it hand been gently used and it had never been dropped.  Let me tell you, that phone had been used hard and dropped and should have been thrown away, not sold on ebay.  My luck this year on ebay has not been good.  But....outside of the bad experience.....the Samsung A920 is one of the best phones I&apos;ve ever had.  Just wish I could get another one."	1
"Yes!, this is the phone that I've been looking for. Even though it is an oldie it is (still) a goodie!, and the last time I used this model was in '03 and have been looking for another every since but had never found one in good working order.  Thank you so very much!..."	1
"Yes this phone is from 1999, but it can actually still be activated on Pageplus. Basically anywhere VZW works, this thing will.   The battery last for days, even from the 1999 stock.   It's super thin compared to most device from this erra, and fits well in your pocket. Sound quality is also Excellent. They don't make things the way they used to!"	1
yes this is a great deal and once the phone came i called att and got unlock code same day via email	1
"Yes the phone works and yes the phone came with the charging cord, but what good is it if I can&apos;t get it activated? The phone I bought has a pending bill against it and was still active under another persons account. I paid $52 for something I can&apos;t use and I want a refund. Oh, and also, the phone did not appear as described &quot;barely used.&quot; It looked like it had been dropped a few times and had scratches on the screen."	0
"Yes the phone works and yes the phone came with the charging cord, but what good is it if I can&apos;t get it activated? The phone I bought has a pending bill against it and was still active under another persons account. I paid $52 for something I can&apos;t use and I want a refund. Oh, and also, the phone did not appear as described &quot;barely used.&quot; It looked like it had been dropped a few times and had scratches on the screen."	0
Yes it's unlocked but it's not 4g capable	0
yes i worry Chinese Fone !  because in ebay can not control.	0
Yes I love my s7 edge I've had all the Samsung phones since they came out 	1
"Yep, it's worth $30, that's it.  I can do text, I can make a call and take photos, plus if I break it or drop it, who cares, BUT it is sort of pointless if the phone is so poorly manufactured that you cannot answer it. The circle graphic to ""press to answer""  (who the hell thought that up?) simply does not respond to touch.  All other touch features work, but not that one.  Nice.  I have to just let it ring and wait for the phone to register the call and touch ""call back"" -   which actually is not a bad idea - if the call is important they leave a message, plus I don't fumble for the phone when it is ringing, I just wait - which is actually safer and less aggravating, so hmm, this negative is almost a positive..."	0
"Yeah, it's a nice phone, but unfortunately illegal to sell and ship in the USA."	0
Y'all sold me a phone that was for parts only and it doesn't say it anywhere on the description! And I'm very pissed off about it.	0
Yall Lied It Dosent Work Widd Metro	0
Ya mande varios mensajes para regresarlo y no hay rwspuesta	0
Ya lo pague y el producto no a sido enviado Quiero saber que pasa.	0
xxxxxq`pscijqdoifhboizhgboiùzrhgbùoizrhgboùizrhgoùizrhjgoiarzehjgoiùaejhrgioaejhrgoiajhergioajhregoihjaergoijhaeriogjhaeriogjhaeiorgjaeioprgjhaeiporgjapioergjpioaerjgpioaerjghapioerjgpioaerjg pi$oaerjgpiaoerjgpiaoerjgpioaerjgpioaejrgpioaerjgpioaejrgpioaejrgipoaejrhgopiaejhrgoiaehjrgoiaehrjgoiuaehyvçèaetyggç!è)^&amp;&quot;&apos;(yà!ahroiqhfoîughae^ç!gyaeoirghoiâeryg^à!ayghoùianergoihaeroîghaôerghjaoierghoaierhgoiâerhugoâierhgoiâerhgoîaerhgoîaehrgoiùaerhgoiaehrgôhaeroighaeoirghôaerhgoiaerhgoîaerygà!^$a	1
Xperia Play is the only gaming-phone. You can play with physical buttons. Battery life playing is 3-4hrs. It feels weird in your hand when you try to use it with one hand and touch screen	1
Xiaomi Phone is Counterfeit!!! DON&quot;T ORDER FROM THIS SELLER!!!  Phone came in working condition from China but it is not Xiaomi Mi3 - 16GB - Orange (Unlocked) that I ordered - it is a cheap counterfeit.	0
"xExcellent product at a great cost, thank you very much.  Looking forward to doing more visit with you."	1
wrongfully stated phone was discribed wrong from seller didnt work as they said.............................................................................................	0
"Wrong! I bought this phone at a steal of a price, but with the low price always comes it's doubts. But this device is flawless. It was delivered to me within 2 days, little to none cosmetic wear, and they even threw in a USB otg adapter! Thank you for my pixel XL I love it so much! Would recommend this seller to anybody"	1
Wrong sim card tray but good phone	1
Wrong product! Did not work as promised. Do not buy fom this guy or ebay! Go to Amazon. Take my word! Ebay is letting and allowing charlatans to sell! F....k Ebay and this seller! BOYCOTT EBAY! GO AMAZON!	0
Wrong phone spent a whole day otta my life with at&t trying g to make it work. Said it was a new phone ended up in chineese with Chinese  contacts refuse to believe us fighting return thank god bought it with pay pal so we ll see august 2 what pay pal does	0
Wrong phone i have the lg l90 	0
Wrong description and fake pictures. Sent the phone with scratches. Don't trust	0
Write your review for the Motorola MOTO G - 8GB - Black (Unlocked) Smartphone  Write your review for the Motorola MOTO G - 8GB - Black (Unlocked) Smartphone	1
"Wow, already arrived you are fantastic, thank you. I havent activated it but daughter said it just arrived, she is so excited!  I am sure she will have it waiting for me as soon as I walk through the door. Will buy from you again! "	1
"Wow,  shipping was fast phone is in great condition. Will definitely purchase again from this buyer."	1
Wow!!! Thank you. I am so happy with this phone. You're awesome. Thanks for the speedy shipping	1
Wow! very impressed with the phone. This seller described the condition of the phone as used with scratches on the case and screen. When we received the phone it was in much better condition than expected. Thanks so much for your honesty.	1
"Wow! This was the first camera phone I got! The beauty of this is the camera, you plug in the bottom! Such a good phone, my partner got the same phone! The camera came with a little case, and easily plugs in. The photos it takes are two types, small and large."	1
"Wouldn't work, returned to seller. Never got a replacement or refund."	0
would not work in my zip code area	0
would not work in my cell phone area  so returned for a refund	0
Would not turn on. Do not trust this company	1
Would not recommend doing business with! Refuse to answer questions as stated in advertisement.	0
Would not hold a charge  two days after receiving  it	0
"Would not get a signal , sold phone."	0
would have bought the phone but ebay has a cancelled card on file and couldn&apos;t use another card  could not accunt no. i coneacted customer service and recieved an email reguesting new card infor which i emailed the infor then i got an email complaining i did not  pay for  item i was going to be put some kind of list. this pissed me off and then i cancelled. i was buying this for a mentally challenged person who needed the phone to contact his staff while in the comminity for safety reasons. after this experience i will not consider buying anythig fro ebay.   veery dissapointed consumer	0
Would have been fine but with no wifi calling the phone is useless to us.  Huge disappointment.  Otherwise phone is fine but battery was replaced and so not in original condition and protective screen put on as well.  Like the size and clarity and utility of the phone but will have to go with J6 due to wifi.  Thank you.	0
Would buy again.	1
"Would be a good buy if you only need a phone that does not work for much of anything else. I wish that I had stumbled across anything that had informed me that there is no longer any thing below windows 10  that is still supported as a smartphone. I spent some time reading reviews and information about this phone before deciding to purchase it, everything I found made it sound great. Once the device arrived it was almost perfect in condition as if it had never been used. After getting it set up and active, I found quickly that it was not going to work for much of anything that I was needing it to work with. I spent about a week trying to find any solutions for the issues while missing a whole lot of important things, before I gave up on it and purchased another new phone that is not windows and works for the purposes I need a smartphone for in the first place."	0
Would absolutely buy from again	1
"Worth the price. Amazing quality, picture is crystal clear. Long battery life and great resale value."	1
Worth the dollar. Good stuff	1
"Worst smartphone I ever had . What a disappointment . I had a Moto Pure before which was great but was getting old , it was made before Lenovo bought out Motorola . My Z3 was made after that and quality sucks . You can see where they cut corners . First of all connection is absolutely horrible .Everybody with the same provider around the table have 4 bars , I have no connection . Settings don't work like they supposed to or chànge on their own  , preloaded apps freeze and jam or plain don't open . I'm getting a Samsung this time and sending this to Motorola - they can have it . What an overpriced , useless piece of junk . Great job Lenovo !!!"	0
Worst service ever!	0
"Worst seller ever, as the theft, he is pretends to rip you off selling you used stuff as new,  cheap charger and no accessories, asus phones are good but this kind of sellers make buyers go away and I know I'm not the first one people don't trust in those crappy reviews better go to a real store before it happens to you to, I'm never gonna buy anything from ebay ever again also my feedback was removed by eBay thays why im writing it here"	0
Worst quality about this device is the audio! Don't even waste your time if sound is important. Front speakers are full of high end noise and distortion. Software still buggy and lte doesn't work well AT&T. But rapid charging is the best option since you can't go a day with a full charge.	0
"Worst product, no response from the seller"	0
Worst product I ever bought. Stop working within 2 months of purchase. It shows it is unused but seller is rolling customers I guess. Worst experience ever.	0
"Worst phone I have ever had!  The alarm clock has never worked. When its time to alarm it locks the phone on black screen, no sound, I have to remove the battery to reboot the phone. There is no touch screen calibration so what you have is what you get, and mine is off big time! Most the internet features don&apos;t work right and they continue to rack up your internet usage after you &quot;close&quot; them, the only way to actually close them out is to reboot the phone.  You are better off using a home phone than this stupid device."	0
"Worst phone ever. Sometimes it doesn&apos;t even register a call until the voicemail comes through and other times if even a single button is accidentally pushed, I&apos;m stuck watching my phone ring when a call comes in because it wont show me who is calling, wont let me answer, and wont let me make it stop ringing."	0
"Worst phone ever. Reception is horrible anywhere. My wife's phone can be within feet. She can call, this phone has no signal.  Bluetooth music doesn't work right either. "	0
Worst phone ever. It doesnt even work. The screen doesnt respond to my touches. It constantly freezes up. I will never buy from this seller ever again. They wouldnt even give me a refund because they claimed they couldnt take the phone back because they couldnt do anything with it. 20% of my money was there offer. I hate it. Never again	0
Worst phone ever worked 1 week and now nothing  	0
Worst phone ever	0
worst phone  i very disapointed	0
"Worst experience from this seller...they mentioned it is a fair condition smart phone but i got in worst condition,,,Can't switch on...It's not at all working...It's an open loot and ebay must take it seriously...I will never recommend ebay...If possible, I would give negative stars"	0
Worst EBay experience ever. I havent received the phone or the refund. The seller said they refunded however NO REFUND to my credit card as of yet. 	0
"worst ebay experience ever, sent bogus tracking number, never received item, no response to mutiple messages & emails, lowlife, scumbag, seller took the money and run"	0
"Worst cell phone I have ever owned. Extremely user unfriendly. Too many steps to do anything. Signal strength is horrible, sometimes nonexistent. Short battery life, short charge cord. If I have anything good to say about it, when I can make/receive a call it is clear.  After purchasing, found it cheaper on Amazon, with a $4. SD card.  Will definitely be looking to upgrade."	0
Worst battery I ever had	0
Worst 73 dollar I have ever  spent phones Came network locked and when u bought a code for them I couldn't register cause they were reported stolen they also had child porn on them yuck sick sick people 	0
Worst  buy in all my buying experience seller is a fraud. Tells lie about the products to get them sold. Phone wasnt unlocked not new and WiFi doesnt work seller hasnt provided and refund either. Stay away from seller	0
Worse phone I ever owned	0
worse device ever made by Samsung . Dont waste your money on this device.	0
World phone/ Fast/can change battery.	1
Works with TracPhone and Verizon....Best Price and outstanding coverage....	1
Works well and a good value	1
"Works very well.  It's quick, clear and takes great pictures."	1
Works very well and have had no issues at all.  Very happy with the phone!	1
Works very nice 	1
Works so much better than my s6.	1
"works perfectly, highly recommended new product quality,all he needed,   I can use all applications work great with t-mobile  good product not that great"	1
"Works perfectly, as good as the more expensive models.  Great camera and long lasting battery. Although I wish the battery was replaceable. It is very stylish and comes in a couple colors. I have had no problem setting up the two I purchased."	1
"Works perfectly and almost like new, thank you"	1
works perfect and processes fast! great camera and features. price was awesome and we received it quickly 	1
"Works on LTE, 1Gb Ram, wich is enough for me. Dual SIM. Great screen: bright and clear. Recomended!!"	1
works like new. a great buy for the price. i will definetly purchase from this seller again if i need anything in the future.	1
"Works just like a brand new one. I love it! No problems, everything just exactly as described."	1
Works just fine and no issues.  This replaced and another virgin mobile phone I had.  Transferring service to new phone was smooth.	1
works great...had a small bit of trouble activating it but it was on sprints end not the phones end...i love it...thanks so much for the great deal on a phone to hold me over till i can upgrade :)	1
Works great. Connects to my car handsfree system. Just what i wanted.	1
Works great. Awesome. Great price. As described. Will definitely buy from them again soon.	1
"Works great, no issues...works and looks great."	1
"works great, no bloatware"	1
"Works great, looks great"	1
"works great, like new!"	1
"Works great, Ive never had a problem with this iPhone "	1
"works great, fast shipment"	1
"Works great Minor scratches on screen, hardly noticeable  Love it!! "	1
Works great I'm enjoying my new phone.	1
Works great for the money!	1
Works great for my husband.  He carries it all the time.  It functions for what he needs.	1
Works great fast shipping	1
Works great as described and no cosmetic marks just like the pictures.	1
Works great and looks brand new. Very happy with this purchase for my wife. She loves it.	1
Works great and its cheap 	1
Works great and I love this phone...it's just the right size and I haven't had any problems with it....	1
Works great  way better then I thought it would be   Great phone great price  Fast shipping 	1
works fine works fine works fine works fine works fine works fine works fine works fine works fine works fine works fine works fine v v works fine works fine works fine works fine works fine works fine works fine works fine works fine works fine works fine works fine works fine v works fine v v  works fine works fine works fine works fine works fine	1
Works as well as a new unit at one forth the price	1
Works as should and is in better than expected condition.I would buy from this seller with great confidence always	1
Works as it should No problem thanks	1
Works as expected.	1
Works as described.  Would purchase from again. 	1
Works as described.  Bought to use as a wireless camera for my shop to use with dropbox.  And this is more typing to fill in the 100 characters it keeps asking for.	1
Works and looks like he said.	1
Working well so far! Thanks!!	1
"Working on a farm I need a strong, heavy duty phone. This one fits the bill."	1
"Working just like what it said, it l0ok brand new, everything is Good came early then date. I'm happy "	1
Worked perfect at first. Now I see myself having to take the battery out the phone 5 or 6 times a day due to freezing. A friend of mine has the same company but different phone and her phone did the same thing. Its an ok phone.	0
worked out great. had a few dents and cracks but still works great! I love my iPod 	1
Worked for a little while but then started to act up. Sent back and got my money	0
work with every penny	1
"Work perfect, I buy for the price and look beautiful...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................."	1
Work perfect thank you	1
"work perfect , thank you ! "	1
Work great with T-Mobile SIM card without any problem. Highly recommended...	1
Work better than expected.  Great reception very good price fast shipping. 	1
"Work as expect, straight forward to install my 3rd party Sim Card and configure using it without any issue.  My wife loves the XR and all the new features that it has. "	1
Work  perfectly thanks  	1
won't work after the end of this year	0
wont stay charged like the phone was miss lead that it was no contract phone when i recieved it i found out it was contract only it wont stay charged would like to trade it for a no contract cingulat phone if seller has one so i can put a cingular pay as u go sim card in	0
Won't connect to network.  	0
Wonderfull job of Samsung. Very glad to meet this little artwork. The only thing it fails is the absence of wifi. I have an upgrade to Win 6.5. Mail me if you want it. Cheers!	1
Wonderful service issue was taken care of promptly  	1
"Wonderful seller described phone accurately, fair price and delivered quickly."	1
Wonderful product functions and looks as described.	1
wonderful product 	1
Wonderful phone. Awesome camera for 3 megapixel. I absolutely love this phone.I have already used sony before and i must say its very good and easy in operation.	1
"Won&apos;t stay charged, features don&apos;t work and neither does the camera on the phone.  I own a Razr V3xx that I bought New several years ago and it still works.  I thought this was the same.  Its not.  Highly dissappointed."	0
"Won&apos;t ever buy this phone...Bought two for my husband and myself...No manual..nothing with it....even instruction manual sucked. Picture taking is horrible...Can get on the web for a couple of minutes, then the battery dies. We knew it wasn&apos;t an I phone...but I expected at least a working product. Used the phone for 2 days and went back to my old phone that at least holds a charge and takes good pictures. The volume on this phone is horrible. It did have some great apps to it, if it only would stay charged long enough to use it. I travel almost 40 miles one way each day to work and if it&apos;s not holding a charge, it doing me no good."	0
Won this auction and it is not a Galaxy S7 it's a lower model phone. I was in a jam so I couldn't send it back . Beware to check the pics and details out.  	0
"Won the auction, the seller canceled the order due to a low bid.  I honestly won it at auction for $ 20.5. after the auction ends, the seller cancels. just fooled. he is a crook. You are an insolent and deceitful person. I won the auction, but you canceled the order because of the low bid."	0
"Within the first week of purchasing the phone the battery would go from 100% to 0% within an hour.  Keep in mind during this time frame I never once used the phone for any purpose, it was idle the entire time."	0
"With windows 6 and so many cool features such as wifi, bluetooth, and gps! The HTC Touch Diamond for Sprint offers better performance and supports Sprint&apos;s EV-DO Rev. A network and multimedia services. The Windows Mobile 6.1 smartphone also features the cool TouchFlo interface. It&apos;s best suited for first-time smartphone buyers or light users."	1
With the same specifications as the HTC Hero G3 which sells for 500$ and more. the HTC Magic from Rogers (3G GSM) feels a little lighter in the hand but dont be fooled because it&apos;s power is just the same as some very expensive handsets on the market.    enjoy this fine piece of machinery until current handsets such as the droid from motorola or the nexus one go down in price. you will not regret it.	1
"With the price drop off this phone it's definitely one of the best options out there and can complete with a lot of flagship devices. Stock Android with frequent updates, solid cameras, 128gb onboard storage, quick and snappy. Not too big or small. Solid build quality. Good screen quality. Overall a solid device for around the same price you would pay for a budget phone. I got mine for $260. In comparison, the Huawei Mate SE good for $250. The phone got a bad rep when it came out due to the initial price and early issues work software. After several upgrade this is a solid device for a solid deal!"	1
"With the imminent demise of Sprint/Nextel&apos;s iDEN network, this phone and it&apos;s brethren are doomed to a life of weighing down papers and propping doors open. Unfortunately, the short-sighted design team optimized this phone for mobility and not multi-functionality, as it is not hefty enough to be used efficiently in either of those two applications. It has also proved ineffective in self-defense applications, but I am inclined to leave it at that."	0
"With the greatest respect I can say that this product I am very satisfied compared with parameters i8320 advertised that I thought was an ideal choice for what I pretend in relation to the price of this product, I am only attracted more A-GPS function which actually does not work at all without join the Vodafone 360 although in fact the telephone operator to dispose in the SIM card is where Vodafone Albania Vodafone Albania employees themselves shall not know how to activate this service A-GPS .. Next, 3G function is not useful because rather than be quick internet as advertised, on the contrary is much slower than that of faktova EDGE service with change of SIM card of Eagle Albania was not yet available 3G system, with spent battery promptly within a few hours .. Even camera photo of this product is not as I expected, which makes this camera the pictures are of poor quality to be classified as 5MP, even a simple phone with a 1.3MP camera makes pictures much cleaner and qualitative than the 5MP camera photo that allegedly i8320 .. sincerely apologize that i write in this way somewhat unpleasant, but i am totally disappointed by this product, and as soon i am planning to buy a different smartphon ..  am a simple worker and my salary is about $ 150 per month, and do not profess to have the luxury to buy expensive things, but I try to save something more fun somewhat difficult for them selves in these possibilities that I have .. At least I want to buy a product with such parameters be as advertised and as far as cost, then yes I could buy, but I could not not buy it up then out of my pocket ..With respect to your understanding and sincere I salute you .. s.coku2012"	0
"With the android system gave more value, excellent idea"	1
"Wish I had read the Amazon reviews before I purchased this phone.  Bought it almost 2 months ago.  Worked fine up until a few days ago.  Now it has started turning itself off as many have reported on Amazon.  I missed the msg re the death or a friend&apos;s mother yesterday b/c the phone turned itself off.  All of a sudden it is doing this constantly.  I played with it last night and the msgs showed up.  The msgs weren&apos;t even on the phone when I first turned it back on until I majorly played with it.  I went online and asked questions.  This seems to be a major problem with this phone and looks like if I can&apos;t figure it out I will be searching for another phone.  Certainly would not recommend it.  Glad I didn&apos;t pay too much for it.  I did read the ebay reviews and everything looked great re the phone.  Not so in my case, altho it did take 2 months for this to happen!"	0
Wish all eBay Sellers were like him ! 	1
"Wireless Canada gave me the wrong phone cords, they do not fit into phone. Cannot charge them. Not happy!"	0
Will that it doesn't work and they should not be sale things that not working on eBay I don't think it's fair to do that 	0
Will not return full refund	0
will not easily connect to att text will work but not sending of photos  seller offered a att similar web sight but it did not have same values since this not a att sold phone	0
